question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,difficulty,source_file
2c9dcb3b,You are evaluating whether to use a basic workspace or an enterprise workspace in Azure Machine Learning. What are two tasks that require an enterprise workspace? Each correct answer presents a complete solution. Note: Each correct selection is worth one point.,Use a graphical user interface (GUI) to run automated machine learning experiments.,Create a compute instance to use as a workstation.,Use a graphical user interface (GUI) to define and run machine learning experiments from Azure Machine Learning designer.,Create a dataset from a comma-separated value (CSV) file.,None,Note: Enterprise workspaces are no longer available as of September 2020. The basic workspace now has all the functionality of the enterprise workspace.,AI Workloads & Considerations,Medium,printable.pdf
24ef5ed4,You need to predict the income range of a given customer by using the following dataset. Which two fields should you use as features? Each correct answer presents a complete solution. Note: Each correct selection is worth one point.,Education Level,Last Name,Age,Income Range,None,"First Name, Last Name, Age and Education Level are features. Income range is a label (what you want to predict). First Name and Last Name are irrelevant in that they have no bearing on income. Age and Education level are the features you should use.",Fundamental Principles of ML,Easy,printable.pdf
3a599a49,You are building a tool that will process images from retail stores and identify the products of competitors. The solution will use a custom model. Which Azure Cognitive Services service should you use?,Custom Vision,Form Recognizer,Face,Computer Vision,A,,Computer Vision,Medium,printable.pdf
ab042f27,What are two metrics that you can use to evaluate a regression model? Each correct answer presents a complete solution. Note: Each correct selection is worth one point.,coefficient of determination (R2),F1 score,root mean squared error (RMSE),area under curve (AUC),None,"A: R-squared (R2), or Coefficient of determination represents the predictive power of the model as a value between -inf and 1.00. 1.00 means there is a perfect fit, and the fit can be arbitrarily poor so the scores can be negative. C: RMS-loss or Root Mean Squared Error (RMSE) (also called Root Mean Square Deviation, RMSD), measures the difference between values predicted by a model and the values observed from the environment that is being modeled. Incorrect Answers: B: F1 score also known as balanced F-score or F-measure is used to evaluate a classification model. D: aucROC or area under the curve (AUC) is used to evaluate a classification model.",Fundamental Principles of ML,Medium,printable.pdf
4222dd95,"You need to use Azure Machine Learning designer to build a model that will predict automobile prices. Which type of modules should you use to complete the model? To answer, drag the appropriate modules to the correct locations. Each module may be used once, more than once, or not at all. You may need to drag the split bar between panes or scroll to view content. Note: Each correct selection is worth one point.",,,,,A,"Box 1: Select Columns in Dataset For Columns to be cleaned, choose the columns that contain the missing values you want to change. You can choose multiple columns, but you must use the same replacement method in all selected columns. Example: Box 2: Split data Splitting data is a common task in machine learning. You will split your data into two separate datasets. One dataset will train the model and the other will test how well the model performed. Box 3: Linear regression Because you want to predict price, which is a number, you can use a regression algorithm. For this example, you use",AI Workloads & Considerations,Medium,printable.pdf
63e321c0,Which type of machine learning should you use to identify groups of people who have similar purchasing habits?,classification,regression,clustering,,C,Clustering is a machine learning task that is used to group instances of data into clusters that contain similar characteristics. Clustering can also be used to identify relationships in a dataset,Fundamental Principles of ML,Easy,printable.pdf
41605a56,"HOTSPOT (Drag and Drop is not supported)
To complete the sentence, select the appropriate option in the answer area.",,,,,A,Regression is a machine learning task that is used to predict the value of the label from a set of related features.,Unknown,Unknown,printable.pdf
21f04ee3,Which metric can you use to evaluate a classification model?,true positive rate,mean absolute error (MAE),coefficient of determination (R2),root mean squared error (RMSE),A,An ROC curve that approaches the top left corner with 100% true positive rate and 0% false positive rate will be the best model. A random model would display as a flat line from the bottom left to the top right corner. Worse than random would dip below the y=x line.,Unknown,Unknown,printable.pdf
ae9481cf,"Which two components can you drag onto a canvas in Azure Machine Learning designer? Each correct answer presents a complete solution.
Note: Each correct selection is worth one point.",dataset,compute,pipeline,module,None,You can drag-and-drop datasets and modules onto the canvas.,Unknown,Unknown,printable.pdf
ae98affa,"You need to create a training dataset and validation dataset from an existing dataset.
Which module in the Azure Machine Learning designer should you use?",Select Columns in Dataset,Add Rows,Split Data,Join Data,C,"A common way of evaluating a model is to divide the data into a training and test set by using Split Data, and then validate the model on the training data.
Use the Split Data module to divide a dataset into two distinct sets.
The studio currently supports training/validation data splits",Unknown,Unknown,printable.pdf
2a010379,"DRAG DROP (Drag and Drop is not supported)
Match the types of machine learning to the appropriate scenarios.
To answer, drag the appropriate machine learning type from the column on the left to its scenario on the right. Each machine learning type may be used once, more than once, or not at all.
Note: Each correct selection is worth one point.",,,,,A,"Box 1: Regression
In the most basic sense, regression refers to prediction of a numeric target.
Linear regression attempts to establish a linear relationship between one or more independent variables and a
numeric outcome, or dependent variable.
You use this module to define a linear regression method, and then train a model using a labeled dataset. The
trained model can then be used to make predictions.
Box 2: Clustering
Clustering, in machine learning, is a method of grouping data points into similar clusters. It is also called
segmentation.
Over the years, many clustering algorithms have been developed. Almost all clustering algorithms use the
features of individual items to find similar items. For example, you might apply clustering to find similar
people by demographics. You might use clustering with text analysis to group sentences with similar topics or
sentiment.
Box 3: Classification
Two-class classification provides the answer to simple two-choice questions such as Yes/No or True/False.",Unknown,Unknown,printable.pdf
10462e9f,"HOTSPOT (Drag and Drop is not supported)
You have an Azure Machine Learning model that predicts product quality. The model has a training dataset that contains 50,000 records. A sample of the data is shown in the following table.
For each of the following statements, select Yes if the statement is true. Otherwise, select No.
Note: Each correct selection is worth one point.",,,,,A,,Unknown,Unknown,printable.pdf
a8d9d721,"HOTSPOT (Drag and Drop is not supported)
For each of the following statements, select Yes if the statement is true. Otherwise, select No.
Note: Each correct selection is worth one point.",,,,,A,,Unknown,Unknown,printable.pdf
ccd1b1fe,"Which two actions are performed during the data ingestion and data preparation stage of an Azure Machine Learning process? Each correct answer presents part of the solution.
Note: Each correct selection is worth one point.",Calculate the accuracy of the model.,Score test data by using the model.,Combine multiple datasets.,Use the model for real-time predictions.,None,,Unknown,Unknown,printable.pdf
7fea8796,"You need to predict the animal population of an area.
Which Azure Machine Learning type should you use?",regression,clustering,classification,,A,Regression is a supervised machine learning technique used to predict numeric values.,Unknown,Unknown,printable.pdf
8bc61dc2,"Which two languages can you use to write custom code for Azure Machine Learning designer? Each correct answer presents a complete solution.
Note: Each correct selection is worth one point.",Python,R,C#,Scala,None,Use Azure Machine Learning designer for customizing using Python and R code.,Unknown,Unknown,printable.pdf
8eace76e,"Your company wants to build a recycling machine for bottles. The recycling machine must automatically identify bottles of the correct shape and reject all other items.
Which type of AI workload should the company use?",anomaly detection,conversational AI,computer vision,natural language processing,C,"Azure's Computer Vision service gives you access to advanced algorithms that process images and return
information based on the visual features you're interested in. For example, Computer Vision can determine
whether an image contains adult content, find specific brands or objects, or find human faces.",Unknown,Unknown,printable.pdf
25eea254,"In which two scenarios can you use the Form Recognizer service? Each correct answer presents a complete solution.
Note: Each correct selection is worth one point.",Extract the invoice number from an invoice.,Translate a form from French to English.,Find image of product in a catalog.,Identify the retailer from a receipt.,None,,Unknown,Unknown,printable.pdf
18cdc825,"HOTSPOT (Drag and Drop is not supported)
Select the answer that correctly completes the sentence.",,,,,A,,Unknown,Unknown,printable.pdf
d7bfb5de,"HOTSPOT (Drag and Drop is not supported)
You have a database that contains a list of employees and their photos.
You are tagging new photos of the employees.
For each of the following statements select Yes if the statement is true. Otherwise, select No.
Note: Each correct selection is worth one point.",,,,,A,,Unknown,Unknown,printable.pdf
730d6a98,"You need to develop a mobile app for employees to scan and store their expenses while travelling.
Which type of computer vision should you use?",semantic segmentation,image classification,object detection,optical character recognition (OCR),D,"Azure's Computer Vision API includes Optical Character Recognition (OCR) capabilities that extract printed or
handwritten text from images. You can extract text from images, such as photos of license plates or containers
with serial numbers, as well as from documents - invoices, bills, financial reports, articles, and more.",Unknown,Unknown,printable.pdf
156e1249,"You are processing photos of runners in a race.
You need to read the numbers on the runners' shirts to identity the runners in the photos.
Which type of computer vision should you use?",facial recognition,optical character recognition (OCR),image classification,object detection,B,"Optical character recognition (OCR) allows you to extract printed or handwritten text from images and
documents.",Unknown,Unknown,printable.pdf
4e10b176,You use drones to identify where weeds grow between rows of crops to send an instruction for the removal of the weeds. This is an example of which type of computer vision?,object detection,optical character recognition (OCR),scene segmentation,,A,"Object detection is similar to tagging, but the API returns the bounding box coordinates for each tag applied. For example, if an image contains a dog, cat and person, the Detect operation will list those objects together with their coordinates in the image. Incorrect Answers: B: Optical character recognition (OCR) allows you to extract printed or handwritten text from images and documents. C: Scene segmentation determines when a scene changes in video based on visual cues. A scene depicts a single event and it's composed by a series of consecutive shots, which are semantically related.",Unknown,Unknown,printable.pdf
12aaa817,"DRAG DROP (Drag and Drop is not supported) Match the facial recognition tasks to the appropriate questions. To answer, drag the appropriate task from the column on the left to its question on the right. Each task may be used once, more than once, or not at all. Note: Each correct selection is worth one point. Select and Place:",,,,,None,"Box 1: verification Face verification: Check the likelihood that two faces belong to the same person and receive a confidence score. Box 2: similarity Box 3: Grouping Box 4: identification Face detection: Detect one or more human faces along with attributes such as: age, emotion, pose, smile, and facial hair, including 27 landmarks for each face in the image.",Unknown,Unknown,printable.pdf
789bea29,"DRAG DROP (Drag and Drop is not supported) Match the types of computer vision workloads to the appropriate scenarios. To answer, drag the appropriate workload type from the column on the left to its scenario on the right. Each workload type may be used once, more than once, or not at all. Note: Each correct selection is worth one point. Select and Place:",,,,,None,"Box 1: Facial recognition Face detection that perceives faces and attributes in an image; person identification that matches an individual in your private repository of up to 1 million people; perceived emotion recognition that detects a range of facial expressions like happiness, contempt, neutrality, and fear; and recognition and grouping of similar faces in images. Box 2: OCR Box 3: Objection detection Object detection is similar to tagging, but the API returns the bounding box coordinates (in pixels) for each object found. For example, if an image contains a dog, cat and person, the Detect operation will list those objects together with their coordinates in the image. You can use this functionality to process the relationships between the objects in an image. It also lets you determine whether there are multiple instances of the same tag in an image. The Detect API applies tags based on the objects or living things identified in the image. There is currently no formal relationship between the tagging taxonomy and the object detection taxonomy. At a conceptual level, the Detect API only finds objects and living things, while the Tag API can also include contextual terms like ""indoor"", which can't be localized with bounding boxes.",Unknown,Unknown,printable.pdf
d776c682,You need to determine the location of cars in an image so that you can estimate the distance between the cars. Which type of computer vision should you use?,optical character recognition (OCR),object detection,image classification,face detection,B,"Object detection is similar to tagging, but the API returns the bounding box coordinates (in pixels) for each object found. For example, if an image contains a dog, cat and person, the Detect operation will list those objects together with their coordinates in the image. You can use this functionality to process the relationships between the objects in an image. It also lets you determine whether there are multiple instances of the same tag in an image. The Detect API applies tags based on the objects or living things identified in the image. There is currently no formal relationship between the tagging taxonomy and the object detection taxonomy. At a conceptual level, the Detect API only finds objects and living things, while the Tag API can also include contextual terms like ""indoor"", which can't be localized with bounding boxes.",Unknown,Unknown,printable.pdf
e8f97263,"HOTSPOT (Drag and Drop is not supported) To complete the sentence, select the appropriate option in the answer area. Hot Area:",,,,,None,"Azure Custom Vision is a cognitive service that lets you build, deploy, and improve your own image classifiers. An image classifier is an AI service that applies labels (which represent classes) to images, according to their visual characteristics. Unlike the Computer Vision service, Custom Vision allows you to specify the labels to apply. Note: The Custom Vision service uses a machine learning algorithm to apply labels to images. You, the developer, must submit groups of images that feature and lack the characteristics in question. You label the images yourself at the time of submission. Then the algorithm trains to this data and calculates its own accuracy by testing itself on those same images. Once the algorithm is trained, you can test, retrain, and eventually use it to classify new images according to the needs of your app. You can also export the model itself for offline use. Incorrect Answers: Computer Vision: Azure's Computer Vision service provides developers with access to advanced algorithms that process images and return information based on the visual features you're interested in. For example, Computer Vision can determine whether an image contains adult content, find specific brands or objects, or find human faces.",Unknown,Unknown,printable.pdf
2e4c485e,You send an image to a Computer Vision API and receive back the annotated image shown in the exhibit. Which type of computer vision was used?,object detection,face detection,optical character recognition (OCR),image classification,A,"Object detection is similar to tagging, but the API returns the bounding box coordinates (in pixels) for each object found. For example, if an image contains a dog, cat and person, the Detect operation will list those objects together with their coordinates in the image. You can use this functionality to process the relationships between the objects in an image. It also lets you determine whether there are multiple instances of the same tag in an image. The Detect API applies tags based on the objects or living things identified in the image. There is currently no formal relationship between the tagging taxonomy and the object detection taxonomy. At a conceptual level, the Detect API only finds objects and living things, while the Tag API can also include contextual terms like ""indoor"", which can't be localized with bounding boxes.",Unknown,Unknown,printable.pdf
0be38707,What are two tasks that can be performed by using the Computer Vision service? Each correct answer presents a complete solution. Note: Each correct selection is worth one point.,Train a custom image classification model.,Detect faces in an image.,Recognize handwritten text.,Translate the text in an image between languages.,None,"B: Azure's Computer Vision service provides developers with access to advanced algorithms that process images and return information based on the visual features you're interested in. For example, Computer Vision can determine whether an image contains adult content, find specific brands or objects, or find human faces. C: Computer Vision includes Optical Character Recognition (OCR) capabilities. You can use the new Read API to extract printed and handwritten text from images and documents.",Unknown,Unknown,printable.pdf
f5a8b3fd,What is a use case for classification?,predicting how many cups of coffee a person will drink based on how many hours the person slept the previous night.,analyzing the contents of images and grouping images that have similar colors,predicting whether someone uses a bicycle to travel to work based on the distance from home to work,predicting how many minutes it will take someone to run a race based on past race times,C,Two-class classification provides the answer to simple two-choice questions such as Yes/No or True/False. Incorrect Answers: A: This is Regression. B: This is Clustering. D: This is Regression.,Unknown,Unknown,printable.pdf
780d1ad7,What are two tasks that can be performed by using computer vision? Each correct answer presents a complete solution. Note: Each correct selection is worth one point.,Predict stock prices.,Detect brands in an image.,Detect the color scheme in an image,Translate text between languages.,None,"B: Identify commercial brands in images or videos from a database of thousands of global logos. You can use this feature, for example, to discover which brands are most popular on social media or most prevalent in media product placement. C: Analyze color usage within an image. Computer Vision can determine whether an image is black & white or color and, for color images, identify the dominant and accent colors.",Unknown,Unknown,printable.pdf
9f1c0742,You need to build an image tagging solution for social media that tags images of your friends automatically. Which Azure Cognitive Services service should you use?,Face,Form Recognizer,Text Analytics,Computer Vision,A,,Unknown,Unknown,printable.pdf
41e7fd37,Which Computer Vision feature can you use to generate automatic captions for digital photographs?,Recognize text.,Identify the areas of interest.,Detect objects.,Describe the images.,D,"Describe images with human-readable language Computer Vision can analyze an image and generate a human-readable phrase that describes its contents. The algorithm returns several descriptions based on different visual features, and each description is given a confidence score. The final output is a list of descriptions ordered from highest to lowest confidence. The image description feature is part of the Analyze Image API.",Unknown,Unknown,printable.pdf
b9081c37,Which service should you use to extr,,,,,None,,Unknown,Unknown,printable.pdf
0e855ddb,"Which service can extract text, key/value pairs, and table data automatically from scanned documents?",Custom Vision,Face,Form Recognizer,Language,C,"Form Recognizer applies advanced machine learning to accurately extract text, key-value pairs, tables, and structures from documents.",Unknown,Unknown,printable.pdf
b4a258c1,You are developing a solution that uses the Text Analytics service. You need to identify the main talking points in a collection of documents. Which type of natural language processing should you use?,entity recognition,key phrase extraction,sentiment analysis,language detection,B,"Broad entity extraction: Identify important concepts in text, including key Key phrase extraction/ Broad entity extraction: Identify important concepts in text, including key phrases and named entities such as people, places, and organizations.",Unknown,Unknown,printable.pdf
d6126e02,In which two scenarios can you use speech recognition? Each correct answer presents a complete solution.,an in-car system that reads text messages aloud,providing closed captions for recorded or live videos,creating an automated public address system for a train station,creating a transcript of a telephone call or meeting,None,,Unknown,Unknown,printable.pdf
261b1f03,You need to build an app that will read recipe instructions aloud to support users who have reduced vision. Which version service should you use?,Text Analytics,Translator,Speech,Language Understanding (LUIS),C,,Unknown,Unknown,printable.pdf
72a08a8a,Your website has a chatbot to assist customers. You need to detect when a customer is upset based on what the customer types in the chatbot. Which type of AI workload should you use?,anomaly detection,computer vision,regression,natural language processing,D,"Natural language processing (NLP) is used for tasks such as sentiment analysis, topic detection, language detection, key phrase extraction, and document categorization. Sentiment Analysis is the process of determining whether a piece of writing is positive, negative or neutral.",Unknown,Unknown,printable.pdf
98caf159,You plan to develop a bot that will enable users to query a knowledge base by using natural language processing. Which two services should you include in the solution? Each correct answer presents part of the solution.,QnA Maker,Azure Bot Service,Form Recognizer,Anomaly Detector,None,,Unknown,Unknown,printable.pdf
c26651d8,In which two scenarios can you use a speech synthesis solution? Each correct answer presents a complete solution.,an automated voice that reads back a credit card number entered into a telephone by using a numeric keypad,generating live captions for a news broadcast,extracting key phrases from the audio recording of a meeting,an AI character in a computer game that speaks audibly to a player,None,Azure Text to Speech is a Speech service feature that converts text to lifelike speech. Incorrect Answers: C: Extracting key phrases is not speech synthesis.,Unknown,Unknown,printable.pdf
