question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,difficulty,source_file
8a3cf955,"Which AI service can you use to interpret the meaning of a user input such as ""Call me back later?""",Translator Text,Text Analytics,Speech,Language Understanding (LUIS),B,"Text Analytics is an AI service that uncovers insights such as sentiment, entities, and key phrases in unstructured text. Language Understanding (LUIS) is a cloud-based API service, not an AI service, that applies custom machine-learning intelligence to a user's conversational, natural language text to predict overall meaning, and pull out relevant, detailed information.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
6879d92c,You are developing a chatbot solution in Azure. Which service should you use to determine a user's intent?,Translator Text,QnA Maker,Speech,Language Understanding (LUIS),D,"Language Understanding (LUIS) is a cloud-based API service that applies custom machine-learning intelligence to a user's conversational, natural language text to predict overall meaning, and pull out relevant, detailed information. Design your LUIS model with categories of user intentions called intents. Each intent needs examples of user utterances. Each utterance can provide data that needs to be extracted with machine-learning entities.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
abcb0bed,What are two tasks that can be performed by using the Computer Vision service? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Train a custom image classification model.,Detect faces in an image.,Recognize handwritten text.,Translate the text in an image between languages.,None,"This is a multi-select question. The correct answers are B (Detect faces in an image) and C (Recognize handwritten text). B: Azure's Computer Vision service provides developers with access to advanced algorithms that process images and return information based on the visual features you're interested in. For example, Computer Vision can determine whether an image contains adult content, find specific brands or objects, or find human faces. C: Computer Vision includes Optical Character Recognition (OCR) capabilities. You can use the new Read API to extract printed and handwritten text from images and documents.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
29c6977f,What is a use case for classification?,predicting how many cups of coffee a person will drink based on how many hours the person slept the previous night.,analyzing the contents of images and grouping images that have similar colors,predicting whether someone uses a bicycle to travel to work based on the distance from home to work,predicting how many minutes it will take someone to run a race based on past race times,B,"Classification is a machine learning method that uses data to determine the category, type, or class of an item or row of data.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
4356ab89,What are two tasks that can be performed by using computer vision? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Predict stock prices.,Detect brands in an image.,Detect the color scheme in an image,Translate text between languages.,None,"This is a multi-select question. The correct answers are B (Detect brands in an image) and E (Extract key phrases). Option E is not included in the provided JSON structure. B: Azure's Computer Vision service gives you access to advanced algorithms that process images and return information based on the visual features you're interested in. For example, Computer Vision can determine whether an image contains adult content, find specific brands or objects, or find human faces. E: Computer Vision includes Optical Character Recognition (OCR) capabilities. You can use the new Read API to extract printed and handwritten text from images and documents. It uses the latest models and works with text on a variety of surfaces and backgrounds. These include receipts, posters, business cards, letters, and whiteboards. The two OCR APIs support extracting printed text in several languages.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
307e6785,Your company wants to build a recycling machine for bottles. The recycling machine must automatically identify bottles of the correct shape and reject all other items. Which type of AI workload should the company use?,anomaly detection,conversational AI,computer vision,natural language processing,C,"Azure's Computer Vision service gives you access to advanced algorithms that process images and return information based on the visual features you're interested in. For example, Computer Vision can determine whether an image contains adult content, find specific brands or objects, or find human faces.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
2b9a4691,You need to determine the location of cars in an image so that you can estimate the distance between the cars. Which type of computer vision should you use?,optical character recognition (OCR),object detection,image classification,face detection,B,"Object detection is similar to tagging, but the API returns the bounding box coordinates (in pixels) for each object found. For example, if an image contains a dog, cat and person, the Detect operation will list those objects together with their coordinates in the image. You can use this functionality to process the relationships between the objects in an image. It also lets you determine whether there are multiple instances of the same tag in an image. The Detect API applies tags based on the objects or living things identified in the image. There is currently no formal relationship between the tagging taxonomy and the object detection taxonomy. At a conceptual level, the Detect API only finds objects and living things, while the Tag API can also include contextual terms like ""indoor"", which can't be localized with bounding boxes.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
c497d06a,You send an image to a Computer Vision API and receive back the annotated image shown in the exhibit. Which type of computer vision was used?,object detection,semantic segmentation,optical character recognition (OCR),image classification,A,"Object detection is similar to tagging, but the API returns the bounding box coordinates (in pixels) for each object found. For example, if an image contains a dog, cat and person, the Detect operation will list those objects together with their coordinates in the image. You can use this functionality to process the relationships between the objects in an image. It also lets you determine whether there are multiple instances of the same tag in an image. The Detect API applies tags based on the objects or living things identified in the image. There is currently no formal relationship between the tagging taxonomy and the object detection taxonomy. At a conceptual level, the Detect API only finds objects and living things, while the Tag API can also include contextual terms like ""indoor"", which can't be localized with bounding boxes.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
5f30ff03,You need to develop a mobile app for employees to scan and store their expenses while travelling. Which type of computer vision should you use?,semantic segmentation,image classification,object detection,optical character recognition (OCR),D,"Azure's Computer Vision API includes Optical Character Recognition (OCR) capabilities that extract printed or handwritten text from images. You can extract text from images, such as photos of license plates or containers with serial numbers, as well as from documents - invoices, bills, financial reports, articles, and more.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
8de574ca,You want to identify groups of customers who are likely to buy a new product that will be sold next month. Which machine learning technique should you use?,classi cation,regression,clustering,,C,"Clustering, in machine learning, is a method of grouping data points into similar clusters. It is also called segmentation. Over the years, many clustering algorithms have been developed. Almost all clustering algorithms use the features of individual items to nd similar items. For example, you might apply clustering to nd similar people by demographics. You might use clustering with text analysis to group sentences with similar topics or sentiment.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
65d4d308,You have a dataset that contains information about taxi journeys that occurred during a given period. You need to train a model to predict the fare of a taxi journey. What should you use as a feature?,the number of taxi journeys in the dataset,the trip distance of individual taxi journeys,the fare of individual taxi journeys,the trip ID of individual taxi journeys,B,"The label is the column you want to predict. The identi ed Featuresare the inputs you give the model to predict the Label. Example: The provided data set contains the following columns: vendor_id: The ID of the taxi vendor is a feature. rate_code: The rate type of the taxi trip is a feature. passenger_count: The number of passengers on the trip is a feature. trip_time_in_secs: The amount of time the trip took. You want to predict the fare of the trip before the trip is completed. At that moment, you don't know how long the trip would take. Thus, the trip time is not a feature and you'll exclude this column from the model. trip_distance: The distance of the trip is a feature. payment_type: The payment method (cash or credit card) is a feature. fare_amount: The total taxi fare paid is the label.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
98b0a374,You need to predict the sea level in meters for the next 10 years. Which type of machine learning should you use?,classi cation,regression,clustering,,B,"In the most basic sense, regression refers to prediction of a numeric target. Linear regression attempts to establish a linear relationship between one or more independent variables and a numeric outcome, or dependent variable. You use this module to de ne a linear regression method, and then train a model using a labeled dataset. The trained model can then be used to make predictions.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
95a06601,"Automated machine learning (AutoML) automates the time-consuming, iterative tasks of machine learning model development, allowing data scientists, analysts, and developers to build ML models with high scale, efficiency, and productivity while sustaining model quality. Is this statement true?",Yes,No,,,A,"Automated machine learning, also referred to as automated ML or AutoML, is the process of automating the time consuming, iterative tasks of machine learning model development. It allows data scientists, analysts, and developers to build ML models with high scale, e ciency, and productivity all while sustaining model quality.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
9a4d406c,"During training, Azure Machine Learning's automated ML creates multiple pipelines in parallel, trying different algorithms and parameters. It iterates through ML algorithms paired with feature selections, producing models with training scores, and stops once it hits the exit criteria defined in the experiment. Is this statement true?",Yes,No,,,A,"During training, Azure Machine Learning creates a number of pipelines in parallel that try different algorithms and parameters for you. The service iterates through ML algorithms paired with feature selections, where each iteration produces a model with a training score. The higher the score, the better the model is considered to 't' your data. It will stop once it hits the exit criteria de ned in the experiment.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
963d04ba,Which type of machine learning is used for the prediction of a numeric target?,Regression,Classification,Clustering,,A,"In the most basic sense, regression refers to prediction of a numeric target. Linear regression attempts to establish a linear relationship between one or more independent variables and a numeric outcome, or dependent variable. You use this module to de ne a linear regression method, and then train a model using a labeled dataset. The trained model can then be used to make predictions.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
7151ef70,"Which type of machine learning is used to determine the category, type, or class of an item or row of data?",Regression,Classification,Clustering,,B,"Classi cation is a machine learning method that uses data to determine the category, type, or class of an item or row of data.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
07d7270f,"Which type of machine learning is used for grouping data points into similar clusters, also known as segmentation?",Regression,Classification,Clustering,,C,"Clustering, in machine learning, is a method of grouping data points into similar clusters. It is also called segmentation. Over the years, many clustering algorithms have been developed. Almost all clustering algorithms use the features of individual items to nd similar items. For example, you might apply clustering to nd similar people by demographics. You might use clustering with text analysis to group sentences with similar topics or sentiment.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
e237f8af,"Which machine learning task involves outputting a confusion matrix, ROC, Precision/Recall, and Lift curves to assess model performance?",Model evaluation,Feature engineering,Feature selection,,A,"The Model evaluation module outputs a confusion matrix showing the number of true positives, false negatives, false positives, and true negatives, as well as ROC, Precision/Recall, and Lift curves.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
030dc719,"Which machine learning task is the process of using domain knowledge of the data to create features that help ML algorithms learn better, often involving scaling and normalization techniques?",Model evaluation,Feature engineering,Feature selection,,B,"Feature engineering is the process of using domain knowledge of the data to create features that help ML algorithms learn better. In Azure Machine Learning, scaling and normalization techniques are applied to facilitate feature engineering. Collectively, these techniques and feature engineering are referred to as featurization. Note: Often, features are created from raw data through a process of feature engineering. For example, a time stamp in itself might not be useful for modeling until the information is transformed into units of days, months, or categories that are relevant to the problem, such as holiday versus working day.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
497fd5df,"Which machine learning task involves selecting a subset of relevant, useful features to use in building an analytical model to reduce noise and improve training performance?",Model evaluation,Feature engineering,Feature selection,,C,"In machine learning and statistics, feature selection is the process of selecting a subset of relevant, useful features to use in building an analytical model. Feature selection helps narrow the eld of data to the most valuable inputs. Narrowing the eld of data helps reduce noise and improve training performance.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
8f78aadf,"In machine learning, if you have labeled data, that means your data is marked up, or annotated, to show the _______, which is the answer you want your machine learning model to predict.",target,feature,dataset,model,A,"In machine learning, if you have labeled data, that means your data is marked up, or annotated, to show the target, which is the answer you want your machine learning model to predict. In general, data labeling can refer to tasks that include data tagging, annotation, classi cation, moderation, transcription, or processing. Incorrect Answers: Not features: In machine learning and statistics, feature selection is the process of selecting a subset of relevant, useful features to use in building an analytical model. Feature selection helps narrow the eld of data to the most valuable inputs. Narrowing the eld of data helps reduce noise and improve training performance.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
cefc669d,You have the Predicted vs. True chart shown in the following exhibit. Which type of model is the chart used to evaluate?,classi cation,regression,clustering,,B,"What is a Predicted vs. True chart? Predicted vs. True shows the relationship between a predicted value and its correlating true value for a regression problem. This graph can be used to measure performance of a model as the closer to the y=x line the predicted values are, the better the accuracy of a predictive model.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
065e27c0,Which metric can you use to evaluate a classi cation model?,true positive rate,mean absolute error (MAE),coe cient of determination (R2),root mean squared error (RMSE),A,What does a good model look like? An ROC curve that approaches the top left corner with 100% true positive rate and 0% false positive rate will be the best model. A random model would display as a at line from the bottom left to the top right corner. Worse than random would dip below the y=x line.,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
e88e8090,Which two components can you drag onto a canvas in Azure Machine Learning designer? Each correct answer presents a complete solution.,dataset,compute,pipeline,module,None,You can drag-and-drop datasets and modules onto the canvas.,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
3a536528,You need to create a training dataset and validation dataset from an existing dataset. Which module in the Azure Machine Learning designer should you use?,Select Columns in Dataset,Add Rows,Split Data,Join Data,C,"A common way of evaluating a model is to divide the data into a training and test set by using Split Data, and then validate the model on the training data. Use the Split Data module to divide a dataset into two distinct sets. The studio currently supports training/validation data splits.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
a8ef2569,You use Azure Machine Learning designer to publish an inference pipeline. Which two parameters should you use to consume the pipeline? Each correct answer presents part of the solution.,the model name,the training endpoint,the authentication key,the REST endpoint,None,D: You can consume a published pipeline in the Published pipelines page. Select a published pipeline and nd the REST endpoint of it.,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
5d2801b7,"To perform real-time inferencing, real-time endpoints must be deployed to an Azure _______ Service cluster.",Kubernetes,Container,Virtual Machine,App,A,"To perform real-time inferencing, you must deploy a pipeline as a real-time endpoint. Real-time endpoints must be deployed to an Azure Kubernetes Service cluster.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
7b88cbd8,"In the most basic sense, _______ refers to prediction of a numeric target.",Regression,Classification,Clustering,,A,"In the most basic sense, regression refers to prediction of a numeric target. Linear regression attempts to establish a linear relationship between one or more independent variables and a numeric outcome, or dependent variable. You use this module to de ne a linear regression method, and then train a model using a labeled dataset. The trained model can then be used to make predictions. Incorrect Answers: ✑ Classi cation is a machine learning method that uses data to determine the category, type, or class of an item or row of data. ✑ Clustering, in machine learning, is a method of grouping data points into similar clusters. It is also called segmentation. Over the years, many clustering algorithms have been developed. Almost all clustering algorithms use the features of individual items to nd similar items. For example, you might apply clustering to nd similar people by demographics. You might use clustering with text analysis to group sentences with similar topics or sentiment.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
2d310636,Azure Machine Learning designer allows you to visually connect datasets and modules on an interactive canvas to create machine learning models. Is this statement true?,Yes,No,,,A,Azure Machine Learning designer lets you visually connect datasets and modules on an interactive canvas to create machine learning models.,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
f8a34828,"In Azure Machine Learning designer, as you edit a pipeline, your progress is saved as a pipeline draft. Is this statement true?",Yes,No,,,A,"With the designer you can connect the modules to create a pipeline draft. As you edit a pipeline in the designer, your progress is saved as a pipeline draft.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
2793fa25,"Which Microsoft guiding principle for responsible AI states that to build trust, it's critical that AI systems operate reliably, safely, and consistently under normal circumstances?",Reliability and safety,Fairness,Privacy and security,Inclusiveness,A,"To build trust, it's critical that AI systems operate reliably, safely, and consistently under normal circumstances",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
5edd3746,"To complete the sentence, select the appropriate option in the answer area.",,,,,None,"Reliability and safety: To build trust, it's critical that AI systems operate reliably, safely, and consistently under normal circumstances and in unexpected conditions. These systems should be able to operate as they were originally designed, respond safely to unanticipated conditions, and resist harmful manipulation.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
aac665b8,"Which service should you use to extract text, key/value pairs, and table data automatically from scanned documents?",Form Recognizer,Text Analytics,Ink Recognizer,Custom Vision,A,"Accelerate your business processes by automating information extraction. Form Recognizer applies advanced machine learning to accurately extract text, key/ value pairs, and tables from documents. With just a few samples, Form Recognizer tailors its understanding to your documents, both on-premises and in the cloud. Turn forms into usable data at a fraction of the time and cost, so you can focus more time acting on the information rather than compiling it.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
8329b882,A company employs a team of customer service agents to provide telephone and email support to customers. The company develops a webchat bot to provide automated answers to common customer queries. Which business bene t should the company expect as a result of creating the webchat bot solution?,increased sales,a reduced workload for the customer service agents,improved product reliability,,B,,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
af51670a,"For a machine learning progress, how should you split data for training and evaluation?",Use features for training and labels for evaluation.,Randomly split the data into rows for training and rows for evaluation.,Use labels for training and features for evaluation.,Randomly split the data into columns for training and columns for evaluation.,D,"In Azure Machine Learning, the percentage split is the available technique to split the data. In this technique, random data of a given percentage will be split to train and test data.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
3029430b,You are developing a model to predict events by using classi cation. You have a confusion matrix for the model scored on test data as shown in the following exhibit. Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic. NOTE: Each correct selection is worth one point.,,,,,None,"Box 1: 11 - TP = True Positive. The class labels in the training set can take on only two possible values, which we usually refer to as positive or negative. The positive and negative instances that a classi er predicts correctly are called true positives (TP) and true negatives (TN), respectively. Similarly, the incorrectly classi ed instances are called false positives (FP) and false negatives (FN). Box 2: 1,033 - FN = False Negative -",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
7baa6fdc,You build a machine learning model by using the automated machine learning user interface (UI). You need to ensure that the model meets the Microsoft transparency principle for responsible AI. What should you do?,Set Validation type to Auto.,Enable Explain best model.,Set Primary metric to accuracy.,Set Max concurrent iterations to 0.,B,"Model Explain Ability. Most businesses run on trust and being able to open the ML ""black box"" helps build transparency and trust. In heavily regulated industries like healthcare and banking, it is critical to comply with regulations and best practices. One key aspect of this is understanding the relationship between input variables (features) and model output. Knowing both the magnitude and direction of the impact each feature (feature importance) has on the predicted value helps better understand and explain the model. With model explain ability, we enable you to understand feature importance as part of automated ML runs.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
c3114a34,"For each of the following statements, select Yes if the statement is true. Otherwise, select No. NOTE: Each correct selection is worth one point.",,,,,None,Anomaly detection encompasses many important tasks in machine learning: Identifying transactions that are potentially fraudulent. Learning patterns that indicate that a network intrusion has occurred. Finding abnormal clusters of patients. Checking values entered into a system.,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
5e6a7551,"Match the types of AI workloads to the appropriate scenarios. To answer, drag the appropriate workload type from the column on the left to its scenario on the right. Each workload type may be used once, more than once, or not at all. NOTE: Each correct selection is worth one point.",,,,,None,"Natural language processing (NLP) is used for tasks such as sentiment analysis, topic detection, language detection, key phrase extraction, and document categorization.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
650d9b1c,"You are designing an AI system that empowers everyone, including people who have hearing, visual, and other impairments. This is an example of which Microsoft guiding principle for responsible AI?",fairness,inclusiveness,reliability and safety,accountability,B,"Inclusiveness: At Microsoft, we rmly believe everyone should bene t from intelligent technology, meaning it must incorporate and address a broad range of human needs and experiences. For the 1 billion people with disabilities around the world, AI technologies can be a game-changer.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
b5f5c96b,You are developing a model to predict events by using classification. You have a confusion matrix for the model scored on test data as shown in the following exhibit. Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic. NOTE: Each correct selection is worth one point.,,,,,None,This is a HOTSPOT question and requires an image/interactive element not provided.,Unknown,Unknown,ai-900-questions-only.pdf
9173489d,"Match the Microsoft guiding principles for responsible AI to the appropriate descriptions. To answer, drag the appropriate principle from the column on the left to its description on the right. Each principle may be used once, more than once, or not at all. NOTE: Each correct selection is worth one point.",,,,,None,This is a DRAG DROP question and requires an image/interactive element not provided.,Unknown,Unknown,ai-900-questions-only.pdf
fca4a92e,You are building an AI system. Which task should you include to ensure that the service meets the Microsoft transparency principle for responsible AI?,Ensure that all visuals have an associated text that can be read by a screen reader.,Enable autoscaling to ensure that a service scales based on demand.,Provide documentation to help developers debug code.,Ensure that a training dataset is representative of the population.,C,,Unknown,Unknown,ai-900-questions-only.pdf
996a64a9,Your company is exploring the use of voice recognition technologies in its smart home devices. The company wants to identify any barriers that might unintentionally leave out specific user groups. This an example of which Microsoft guiding principle for responsible AI?,accountability,fairness,inclusiveness,privacy and security,C,,Unknown,Unknown,ai-900-questions-only.pdf
6ded0506,What are three Microsoft guiding principles for responsible AI? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,knowledgeability,decisiveness,inclusiveness,fairness,None,,Unknown,Unknown,ai-900-questions-only.pdf
fdbefc19,You run a charity event that involves posting photos of people wearing sunglasses on Twitter. You need to ensure that you only retweet photos that meet the following requirements: ✑ Include one or more faces. ✑ Contain at least one person wearing sunglasses. What should you use to analyze the images?,the Verify operation in the Face service,the Detect operation in the Face service,the Describe Image operation in the Computer Vision service,the Analyze Image operation in the Computer Vision service,D,,Unknown,Unknown,ai-900-questions-only.pdf
e8bbc44d,"When you design an AI system to assess whether loans should be approved, the factors used to make the decision should be explainable. This is an example of which Microsoft guiding principle for responsible AI?",transparency,inclusiveness,fairness,privacy and security,A,,Unknown,Unknown,ai-900-questions-only.pdf
4d840870,"Match the principles of responsible AI to appropriate requirements. To answer, drag the appropriate principles from the column on the left to its requirement on the right. Each principle may be used once, more than once, or not at all. You may need to drag the split bar between panes or scroll to view content. NOTE: Each correct selection is worth one point.",,,,,None,This is a DRAG DROP question and requires an image/interactive element not provided.,Unknown,Unknown,ai-900-questions-only.pdf
042d49aa,"You plan to deploy an Azure Machine Learning model as a service that will be used by client applications. Which three processes should you perform in sequence before you deploy the model? To answer, move the appropriate processes from the list of processes to the answer area and arrange them in the correct order.",,,,,None,This is a DRAG DROP question and requires an image/interactive element not provided.,Unknown,Unknown,ai-900-questions-only.pdf
59c31212,You are building an AI-based app. You need to ensure that the app uses the principles for responsible AI. Which two principles should you follow? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,Implement an Agile software development methodology,Implement a process of AI model validation as part of the software review process,"Establish a risk governance committee that includes members of the legal team, members of the risk management team, and a privacy officer",Prevent the disclosure of the use of AI-based algorithms for automated decision making,None,,Unknown,Unknown,ai-900-questions-only.pdf
27af68a2,Select the answer that correctly completes the sentence.,,,,,None,This is a HOTSPOT question and requires an image/interactive element not provided.,Unknown,Unknown,ai-900-questions-only.pdf
28a14aca,"Match the machine learning tasks to the appropriate scenarios. To answer, drag the appropriate task from the column on the left to its scenario on the right. Each task may be used once, more than once, or not at all. NOTE: Each correct selection is worth one point.",,,,,None,This is a DRAG DROP question and requires an image/interactive element not provided.,Unknown,Unknown,ai-900-questions-only.pdf
d5e46afb,Which type of machine learning should you use to predict the number of gift cards that will be sold next month?,classification,regression,clustering,,B,,Unknown,Unknown,ai-900-questions-only.pdf
34086798,You use Azure Machine Learning designer to publish an inference pipeline. Which two parameters should you use to access the web service? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,the model name,the training endpoint,the authentication key,the REST endpoint,None,,Unknown,Unknown,ai-900-questions-only.pdf
61a963ad,"You have the following dataset. You plan to use the dataset to train a model that will predict the house price categories of houses. What are Household Income and House Price Category? To answer, select the appropriate option in the answer area. NOTE: Each correct selection is worth one point.",,,,,None,"This is a HOTSPOT question and requires an image/interactive element not provided. Based on the text, 'Household Income' would be a feature and 'House Price Category' would be a label.",Unknown,Unknown,ai-900-questions-only.pdf
89854788,A medical research project uses a large anonymized dataset of brain scan images that are categorized into predefined brain haemorrhage types. You need to use machine learning to support early detection of the different brain haemorrhage types in the images before the images are reviewed by a person. This is an example of which type of machine learning?,clustering,regression,classification,,C,,Unknown,Unknown,ai-900-questions-only.pdf
530e13d8,"When training a model, why should you randomly split the rows into separate subsets?",to train the model twice to attain better accuracy,to train multiple models simultaneously to attain better performance,to test the model by using data that was not used to train the model,,C,,Unknown,Unknown,ai-900-questions-only.pdf
203e473c,You are evaluating whether to use a basic workspace or an enterprise workspace in Azure Machine Learning. What are two tasks that require an enterprise workspace? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Use a graphical user interface (GUI) to run automated machine learning experiments.,Create a compute instance to use as a workstation.,Use a graphical user interface (GUI) to define and run machine learning experiments from Azure Machine Learning designer.,Cre,None,"Option D is cut off, but A and C are correct for enterprise workspace features.",Unknown,Unknown,ai-900-questions-only.pdf
db3f4b8a,You are building a knowledge base by using QnA Maker. Which file format can you use to populate the knowledge base?,PPTX,XML,ZIP,PDF,D,,Unknown,Unknown,ai-900-questions-only.pdf
39d1841b,In which scenario should you use key phrase extraction?,identifying whether reviews of a restaurant are positive or negative,generating captions for a video based on the audio track,identifying which documents provide information about the same topics,translating a set of documents from English to German,C,,Unknown,Unknown,ai-900-questions-only.pdf
37489df2,You have insurance claim reports that are stored as text. You need to extract key terms from the reports to generate summaries. Which type of AI workload should you use?,natural language processing,conversational AI,anomaly detection,computer vision,A,,Unknown,Unknown,ai-900-questions-only.pdf
